Date,Class,Addr Cnt,TELCORE,BBCORE,VCORE,SCORE,TelOnly,Tel+BB,CBOL,IP CORE,FIBER,DSL,BB Goal,BB Rem,BB %
2026-01-01,10-WKT-KY,19531.0,4780,12415,1025,360.0,1193,3587,8828,463,12415,0,,,63.57
2026-01-01,10-WKT-TN,2996.0,971,2070,186,38.0,155,816,1254,15,2070,0,,,69.09
2026-01-01,14-YORK,1897.0,454,1099,59,7.0,86,368,731,5,1099,0,15131.0,-452.0,57.93
2026-01-01,12-MRTN,4983.0,278,1230,70,3.0,133,145,1085,192,1230,0,979.0,-251.0,24.68
2026-01-01,15-DRES,1530.0,243,906,51,1.0,117,126,780,157,906,0,904.0,-2.0,59.22
2026-01-01,16-DUKE,527.0,98,391,27,1.0,9,89,302,98,391,0,378.0,-13.0,74.19
2026-01-01,17-HNRY,1509.0,97,1015,37,3.0,18,79,936,13,1015,0,939.0,-76.0,67.26
2026-01-01,18-SMRT,1604.0,55,824,32,0.0,7,48,776,1,824,0,734.0,-90.0,51.37
2026-01-01,19-GRCO,4377.0,243,2623,139,42.0,95,148,2475,243,2623,0,2522.0,-101.0,59.93
2026-01-01,20-PALM,969.0,199,667,35,1.0,16,183,484,9,667,0,625.0,-42.0,68.83
2026-01-01,21-ILL,173.0,1,35,4,0.0,0,1,34,1,35,0,,-35.0,20.23
2026-01-01,22-ILL,459.0,6,134,9,0.0,2,4,130,6,134,0,28.0,-106.0,29.19
2026-01-01,23-PILL,740.0,6,42,5,0.0,4,2,40,0,42,0,26.0,-16.0,5.68
2026-01-01,24-CALL,648.0,12,359,23,1.0,5,7,352,12,359,0,312.0,-47.0,55.4
2026-01-01,26-MRSH,192.0,1,91,3,0.0,0,1,90,1,91,0,82.0,-9.0,47.4
2026-01-01,27-WEAK,1248.0,52,320,28,1.0,11,41,279,11,320,0,32.0,-288.0,25.64
2026-01-01,28-CARL,311.0,24,119,7,2.0,13,11,108,24,119,0,103.0,-16.0,38.26
2026-01-01,33-BENT,450.0,15,98,10,0.0,0,15,83,0,98,0,64.0,-34.0,21.78
2026-01-01,98-TNNG,6.0,0,5,0,0.0,0,0,5,0,5,0,5.0,,83.33
2026-01-01,99-KYNG,30.0,1,33,1,3.0,0,1,32,1,33,0,33.0,,110.0
2026-01-01,25-IRDOF,164.0,0,12,0,0.0,0,0,12,0,12,0,,-12.0,7.32
2026-01-01,31-ARD-AL,11192.0,1624,5259,0,63.0,497,1127,4132,10,4988,271,,,46.99
2026-01-01,31-ARD-TN,4620.0,990,1980,0,16.0,285,705,1275,20,1706,274,,,42.86
2026-01-01,35-GILES,545.0,5,63,0,0.0,0,5,58,4,63,0,,,11.56
2026-01-01,96-ALNG,,0,1,0,,0,0,1,0,1,0,,,0.0
2026-01-31,10-WKT-KY,19558.0,4660,12409,1025,357.0,1156,3504,8905,457,12409,0,,,63.45
2026-01-31,10-WKT-TN,3004.0,931,2084,182,38.0,147,784,1300,15,2084,0,,,69.37
2026-01-31,14-YORK,1893.0,445,1108,57,6.0,86,359,749,15,1108,0,15584.0,-16.0,58.53
2026-01-31,12-MRTN,5092.0,279,1383,75,3.0,131,148,1235,188,1383,0,1299.0,-84.0,27.16
2026-01-31,15-DRES,1531.0,236,907,51,1.0,113,123,784,152,907,0,909.0,2.0,59.24
2026-01-31,16-DUKE,528.0,97,398,28,1.0,10,87,311,97,398,0,391.0,-7.0,75.38
2026-01-31,17-HNRY,1524.0,94,1016,37,3.0,18,76,940,13,1016,0,1015.0,-1.0,66.67
2026-01-31,18-SMRT,1589.0,54,836,33,0.0,7,47,789,1,836,0,829.0,-7.0,52.61
2026-01-31,19-GRCO,4388.0,242,2637,133,45.0,97,145,2492,242,2637,0,2636.0,-1.0,60.1
2026-01-31,20-PALM,954.0,192,654,35,1.0,18,174,480,8,654,0,667.0,13.0,68.55
2026-01-31,21-ILL,200.0,1,44,3,0.0,0,1,43,1,44,0,43.0,-1.0,22.0
2026-01-31,22-ILL,487.0,6,143,10,0.0,2,4,139,6,143,0,144.0,1.0,29.36
2026-01-31,23-PILL,705.0,7,46,5,0.0,4,3,43,0,46,0,72.0,26.0,6.52
2026-01-31,24-CALL,648.0,16,364,26,2.0,7,9,355,16,364,0,359.0,-5.0,56.17
2026-01-31,25-TRDOF,,0,1,0,0.0,0,0,1,0,1,0,,-1.0,0.0
2026-01-31,25-IRDOF,163.0,0,32,2,0.0,0,0,32,0,32,0,19.0,-13.0,19.63
2026-01-31,26-MRSH,194.0,1,90,4,0.0,0,1,89,1,90,0,92.0,2.0,46.39
2026-01-31,27-WEAK,1290.0,56,374,39,1.0,11,45,329,12,374,0,343.0,-31.0,28.99
