Service Area,Service,Start Date,End Date,Days,Start Value,End Value,Change,Daily Rate,Percent Change
10-WKT-KY,TELCORE,2026-01-01,2026-01-31,30,4780.0,4660.0,-120.0,-4.0,-2.510460251046025
10-WKT-KY,BBCORE,2026-01-01,2026-01-31,30,12415.0,12409.0,-6.0,-0.2,-0.04832863471606927
10-WKT-KY,VCORE,2026-01-01,2026-01-31,30,1025.0,1025.0,0.0,0.0,0.0
10-WKT-KY,SCORE,2026-01-01,2026-01-31,30,360.0,357.0,-3.0,-0.1,-0.8333333333333334
10-WKT-KY,TELCORE,2026-01-31,2026-02-28,28,4660.0,4725.0,65.0,2.3214285714285716,1.3948497854077253
10-WKT-KY,BBCORE,2026-01-31,2026-02-28,28,12409.0,12418.0,9.0,0.32142857142857145,0.0725280038681602
10-WKT-KY,VCORE,2026-01-31,2026-02-28,28,1025.0,1022.0,-3.0,-0.10714285714285714,-0.2926829268292683
10-WKT-KY,SCORE,2026-01-31,2026-02-28,28,357.0,355.0,-2.0,-0.07142857142857142,-0.5602240896358543
10-WKT-KY,TELCORE,2026-02-28,2026-03-31,31,4725.0,4690.0,-35.0,-1.1290322580645162,-0.7407407407407408
10-WKT-KY,BBCORE,2026-02-28,2026-03-31,31,12418.0,12410.0,-8.0,-0.25806451612903225,-0.06442261233693027
10-WKT-KY,VCORE,2026-02-28,2026-03-31,31,1022.0,1018.0,-4.0,-0.12903225806451613,-0.3913894324853229
10-WKT-KY,SCORE,2026-02-28,2026-03-31,31,355.0,355.0,0.0,0.0,0.0
10-WKT-TN,TELCORE,2026-01-01,2026-01-31,30,971.0,931.0,-40.0,-1.3333333333333333,-4.11946446961895
10-WKT-TN,BBCORE,2026-01-01,2026-01-31,30,2070.0,2084.0,14.0,0.4666666666666667,0.6763285024154589
10-WKT-TN,VCORE,2026-01-01,2026-01-31,30,186.0,182.0,-4.0,-0.13333333333333333,-2.1505376344086025
10-WKT-TN,SCORE,2026-01-01,2026-01-31,30,38.0,38.0,0.0,0.0,0.0
10-WKT-TN,TELCORE,2026-01-31,2026-02-28,28,931.0,957.0,26.0,0.9285714285714286,2.7926960257787328
10-WKT-TN,BBCORE,2026-01-31,2026-02-28,28,2084.0,2065.0,-19.0,-0.6785714285714286,-0.9117082533589251
10-WKT-TN,VCORE,2026-01-31,2026-02-28,28,182.0,185.0,3.0,0.10714285714285714,1.6483516483516485
10-WKT-TN,SCORE,2026-01-31,2026-02-28,28,38.0,38.0,0.0,0.0,0.0
10-WKT-TN,TELCORE,2026-02-28,2026-03-31,31,957.0,948.0,-9.0,-0.2903225806451613,-0.9404388714733543
10-WKT-TN,BBCORE,2026-02-28,2026-03-31,31,2065.0,2089.0,24.0,0.7741935483870968,1.162227602905569
10-WKT-TN,VCORE,2026-02-28,2026-03-31,31,185.0,183.0,-2.0,-0.06451612903225806,-1.0810810810810811
10-WKT-TN,SCORE,2026-02-28,2026-03-31,31,38.0,40.0,2.0,0.06451612903225806,5.263157894736842
14-YORK,TELCORE,2026-01-01,2026-01-31,30,454.0,445.0,-9.0,-0.3,-1.9823788546255507
14-YORK,BBCORE,2026-01-01,2026-01-31,30,1099.0,1108.0,9.0,0.3,0.8189262966333031
14-YORK,VCORE,2026-01-01,2026-01-31,30,59.0,57.0,-2.0,-0.06666666666666667,-3.389830508474576
14-YORK,SCORE,2026-01-01,2026-01-31,30,7.0,6.0,-1.0,-0.03333333333333333,-14.285714285714285
14-YORK,TELCORE,2026-01-31,2026-02-28,28,445.0,450.0,5.0,0.17857142857142858,1.1235955056179776
14-YORK,BBCORE,2026-01-31,2026-02-28,28,1108.0,1103.0,-5.0,-0.17857142857142858,-0.45126353790613716
14-YORK,VCORE,2026-01-31,2026-02-28,28,57.0,58.0,1.0,0.03571428571428571,1.7543859649122806
14-YORK,SCORE,2026-01-31,2026-02-28,28,6.0,7.0,1.0,0.03571428571428571,16.666666666666664
14-YORK,TELCORE,2026-02-28,2026-03-31,31,450.0,442.0,-8.0,-0.25806451612903225,-1.7777777777777777
14-YORK,BBCORE,2026-02-28,2026-03-31,31,1103.0,1108.0,5.0,0.16129032258064516,0.45330915684496825
14-YORK,VCORE,2026-02-28,2026-03-31,31,58.0,56.0,-2.0,-0.06451612903225806,-3.4482758620689653
